id,name,sortId
1,艾草,3
2,棒棒糖,3
3,八宝粥,3
4,白茶,3
5,扁豆,3
6,布丁,3
7,巴旦木,3
8,饼干,3
9,碧根果肉,3
10,白瓜子,3
11,包裹着猫屎的猫砂,3
12,薄荷叶,3
13,八角,3
14,北京烤鸭,3
15,菠萝,3
16,板栗壳,3
17,槟榔,3
18,菠萝密肉,3
19,菠萝皮,3
20,爆米花,3
21,白米虾,3
22,冰淇淋,3
23,蚌肉,3
24,白砂糖,3
25,白糖,3
26,百香果壳,3
27,包子,3
28,白煮蛋,3
29,葱,3
30,草本植物,3
31,蚕豆,3
32,蚕豆壳,3
33,茨菇,3
34,臭虫,3
35,臭豆腐,3
36,炒花生壳,3
37,炒花生米,3
38,翅尖,3
39,车厘子核,3
40,陈皮,3
41,面条,3
42,叉烧,3
43,叉烧酥,3
44,茶叶,3
45,茶叶蛋壳,3
46,虫,3
47,虫子,3
48,橙子皮,3
49,草莓,3
50,草莓叶,3
51,橙皮,3
52,菜皮,3
53,宠物粪便,3
54,宠物饲料,3
55,粗盐,3
56,苍蝇,3
57,葱油饼,3
58,茶叶渣,3
59,脆枣,3
60,茶渣,3
61,残枝落叶,3
62,大饼,3
63,蛋白,3
64,大白菜,3
65,大白兔奶糖,3
66,多宝鱼骨头,3
67,骨头,3
68,大葱,3
69,豆腐,3
70,豆腐干,3
71,豆腐猫砂,3
72,豆干,3
73,豆杆,3
74,蛋糕,3
75,冬瓜,3
76,冬瓜皮,3
77,冬瓜籽,3
78,蛋黄,3
79,蛋黄酥,3
80,蛋卷,3
81,豆浆渣,3
82,蛋壳,3
83,德克士炸鸡,3
84,大米,3
85,大排,3
86,多肉植物,3
87,冬笋壳,3
88,大蒜皮,3
89,大蒜叶,3
90,蛋挞,3
91,蛋挞皮,3
92,动物粪便,3
93,动物内脏,3
94,动物尸体,3
95,凋谢的 鲜花,3
96,鲜花,3
97,豆芽,3
98,枣,3
99,大闸蟹,3
100,大闸蟹壳,3
101,海带子壳,3
102,豆制品,3
103,鹅骨头,3
104,阿胶,3
105,方便面面条,3
106,凤梨皮,3
107,凤梨酥,3
108,蜂蜜,3
109,番茄,3
110,番茄梗,3
111,番茄酱,3
112,番茄沙司,3
113,废弃食用油,3
114,废弃调味料,3
115,废弃植物,3
116,粉丝,3
117,番茄皮,3
118,瓜子,3
119,锅巴,3
120,干脆面,3
121,果冻,3
122,丁香,3
123,鸽子粪,3
124,瓜果,3
125,干果仁,3
126,干桂圆壳,3
127,桂花糕,3
128,干花生壳,3
129,果酱,3
130,莴苣,3
131,狗粮,3
132,咖喱粉,3
133,橄榄核,3
134,干辣椒,3
135,干面粉,3
136,干面条,3
137,果皮,3
138,桂皮,3
139,枸杞,3
140,过期大米,3
141,过期巧克力,3
142,过期食品,3
143,过期糖,3
144,过期调味料,3
145,蛤肉,3
146,干树叶,3
147,灌汤包,3
148,鳜鱼,3
